"Season","Age","Tm","Lg","Pos","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","player","ID"
"2020-21",34,"PHI","NBA","PG",16,303,9.7,0.545,0.299,0.325,3,8.6,5.8,13.3,1.8,0.9,17.8,15.2,0,0.4,0.4,0.065,-3.3,-0.5,-3.9,-0.1,"George Hill","hillge01"
"2020-21",24,"IND","NBA","PG",66,1176,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,"Aaron Holiday","holidaa01"
"2020-21",30,"MIL","NBA","PG",59,1907,20,0.592,0.344,0.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,4.3,2.2,6.6,0.165,2.8,0.6,3.4,2.6,"Jrue Holiday","holidjr01"
"2020-21",31,"IND","NBA","SG",72,2183,10.4,0.571,0.725,0.136,1.6,11.1,6.4,7,1.6,1.5,7.5,14,1.4,1.8,3.1,0.069,-0.9,-0.1,-1,0.6,"Justin Holiday","holidju01"
"2020-21",27,"SAC","NBA","C",61,1782,20.2,0.669,0.019,0.296,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,4.7,1.4,6.1,0.165,0.6,0,0.6,1.2,"Richaun Holmes","holmeri01"
"2020-21",34,"OKC","NBA","C",28,782,17.4,0.538,0.422,0.061,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.8,0.9,1.6,0.101,2,1.4,3.4,1.1,"Al Horford","horfoal01"
"2020-21",20,"LAL","NBA","SG",65,1304,12.9,0.536,0.268,0.264,2.2,12.3,7.3,20.8,2.4,1.4,16.1,21.7,-0.1,2.2,2.1,0.078,-2.6,1.5,-1.2,0.3,"Talen Horton-Tucker","hortota01"
"2020-21",27,"HOU","NBA","SF",36,932,9.1,0.525,0.574,0.232,2,13.6,7.5,10.6,1,1.5,10.7,15.3,0,0.5,0.5,0.026,-2.8,-0.7,-3.5,-0.3,"Danuel House Jr.","houseda01"
"2020-21",22,"ATL","NBA","SG",69,2126,12.2,0.541,0.528,0.088,2,9.7,6,16.3,1.9,0.7,9.4,17.2,1.9,1.7,3.6,0.08,-0.6,0.4,-0.3,1,"Kevin Huerter","huertke01"
"2020-21",23,"ATL","NBA","SF",23,678,15.7,0.603,0.383,0.343,2.8,14.7,8.9,9.7,1.4,1.6,9.2,20.2,1.2,0.6,1.7,0.123,0.6,0.6,1.2,0.5,"De'Andre Hunter","huntede01"
"2020-21",31,"LAC","NBA","C",41,955,18.2,0.585,0.315,0.145,8.9,23.1,16.2,11.5,0.5,4.4,10.2,20.1,1.7,1.3,3,0.15,1.2,0.2,1.4,0.8,"Serge Ibaka","ibakase01"
"2020-21",37,"MIA","NBA","SF",63,1339,9.2,0.519,0.734,0.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,-0.1,1.8,1.7,0.062,-2.2,1.8,-0.4,0.5,"Andre Iguodala","iguodan01"
"2020-21",33,"UTA","NBA","SF",67,1867,15.9,0.672,0.722,0.16,1.6,11.8,6.9,24,1.2,0.5,16.3,16.6,4.7,2.3,7,0.18,2.6,0.9,3.5,2.6,"Joe Ingles","inglejo01"
"2020-21",23,"NOP","NBA","SF",61,2093,19.2,0.584,0.341,0.291,1.8,13.7,7.8,22.4,1,1.6,11,28,3.9,1.3,5.3,0.12,3.3,-1.1,2.2,2.2,"Brandon Ingram","ingrabr01"
"2020-21",28,"BRK","NBA","PG",54,1886,24.4,0.614,0.348,0.201,3.2,11.4,7.5,28.6,1.9,1.7,9.9,30.4,5.8,1.6,7.4,0.189,5.7,-0.2,5.5,3.6,"Kyrie Irving","irvinky01"
"2020-21",22,"DET","NBA","PG",40,738,13.2,0.598,0.512,0.256,2.2,10.8,6.5,7.9,1,0.1,9.4,21.3,0.7,0.4,1.2,0.076,-0.1,-1.6,-1.7,0.1,"Frank Jackson","jacksfr01"
"2020-21",21,"MEM","NBA","C",11,258,18,0.551,0.48,0.336,6.9,18.7,12.7,6.8,2.2,6.3,9.5,25.9,0.2,0.5,0.7,0.123,-0.7,0.7,0.1,0.1,"Jaren Jackson Jr.","jacksja02"
"2020-21",25,"TOT","NBA","SF",34,577,10.4,0.516,0.529,0.167,2.9,11.1,6.9,13.9,1.2,0.3,11.9,19.8,-0.1,0.3,0.2,0.018,-2.3,-1.2,-3.5,-0.2,"Justin Jackson","jacksju01"
"2020-21",25,"OKC","NBA","SF",33,544,10.7,0.519,0.524,0.165,2.6,11,6.8,14.5,1.3,0.3,12,20.2,-0.1,0.3,0.2,0.019,-2.3,-1,-3.2,-0.2,"Justin Jackson","jacksju01"
"2020-21",25,"MIL","NBA","SF",1,33,5.8,0.455,0.667,0.222,6.6,12.3,9.6,3.6,0,0,9.2,13.8,0,0,0,0.006,-3.2,-4.8,-8,0,"Justin Jackson","jacksju01"
"2020-21",30,"LAC","NBA","SG",67,1544,14.2,0.576,0.482,0.14,1.8,11.9,7,19,1.3,0.4,10.6,19.9,2.3,1.4,3.7,0.115,0.6,-0.2,0.4,0.9,"Reggie Jackson","jacksre01"
"2020-21",36,"LAL","NBA","PG",45,1504,24.2,0.602,0.346,0.31,2.2,23.6,12.9,41.8,1.6,1.5,15.2,31.9,3,2.6,5.6,0.179,5.9,2.3,8.1,3.8,"LeBron James","jamesle01"
"2020-21",23,"OKC","NBA","SG",33,788,13.4,0.585,0.585,0.118,1.3,10.8,6,23.7,1.2,0.7,13.5,18.8,0.9,0.4,1.3,0.079,0.1,-0.8,-0.7,0.3,"Ty Jerome","jeromty01"
"2020-21",21,"PHI","NBA","SG",41,383,9.5,0.533,0.797,0.18,1.8,8.5,5.2,7.2,1.5,0.9,7.1,17.4,0.2,0.4,0.6,0.078,-2,-1,-3,-0.1,"Isaiah Joe","joeis01"
"2020-21",24,"BRK","NBA","PF",18,189,23.5,0.638,0.088,0.191,16.6,35,26.3,10.9,1.3,2.3,10.9,19.1,0.6,0.3,0.9,0.227,2.7,0,2.7,0.2,"Alize Johnson","johnsal02"
"2020-21",24,"PHO","NBA","PF",60,1437,11.8,0.563,0.694,0.122,2.6,12.9,7.9,8,1.3,1,7.3,17,1.2,1.4,2.6,0.086,0,-0.2,-0.2,0.7,"Cameron Johnson","johnsca02"
"2020-21",33,"TOT","NBA","PF",51,1043,11.4,0.51,0.367,0.232,3.4,15.1,9.3,12.9,2,3.8,13.2,17.1,-0.1,1.3,1.2,0.055,-2.7,1.5,-1.2,0.2,"James Johnson","johnsja01"
"2020-21",33,"DAL","NBA","PF",29,504,12.2,0.526,0.414,0.2,3.1,15.6,9.4,13.7,2.3,4.2,14.6,16.2,0,0.7,0.8,0.073,-2,2.5,0.5,0.3,"James Johnson","johnsja01"
"2020-21",33,"NOP","NBA","PF",22,539,10.6,0.498,0.33,0.258,3.6,14.7,9.2,12.2,1.6,3.3,12.1,18,-0.1,0.5,0.4,0.039,-3.3,0.5,-2.7,-0.1,"James Johnson","johnsja01"
"2020-21",21,"SAS","NBA","SF",69,1968,13.8,0.557,0.257,0.278,4.9,17.6,11.1,8.9,1,1,9,19.2,1.6,1.7,3.3,0.079,-0.9,-0.7,-1.6,0.2,"Keldon Johnson","johnske04"
"2020-21",24,"TOR","NBA","PF",61,1006,8.8,0.519,0.588,0.236,3.1,14.1,8.4,12,2.5,1.8,17.4,13.4,-0.1,1.1,1,0.048,-3.8,1.2,-2.5,-0.1,"Stanley Johnson","johnsst04"
"2020-21",25,"DEN","NBA","C",72,2488,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3,12.1,8.8,"Nikola Jokić","jokicni01"
"2020-21",25,"TOT","NBA","C",39,547,14.6,0.712,0.049,0.563,7.3,17.4,12.3,7,1,4.6,16.8,12.3,1,0.5,1.6,0.138,-2.2,0.8,-1.4,0.1,"Damian Jones","jonesda03"
"2020-21",25,"PHO","NBA","C",14,94,6.7,0.528,0.063,0.688,8.6,13,10.9,5.3,0.5,4.8,22.4,12.7,0,0.1,0.1,0.043,-7,1.1,-5.9,-0.1,"Damian Jones","jonesda03"
