"Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","player","ID"
"2020-21",21,"MIN","NBA","C","70","15","19.2","4.3","8.3","0.523","0.9","2.5","0.351","3.5","5.8","0.597","0.576","1.6","2.4","0.693","1.2","3.4","4.6","1","0.5","1.1","1","2.6","11.2","Naz Reid","reidna01"
"2020-21",23,"CHO","NBA","PF","18","0","3.5","0.2","0.5","0.444","0","0.1","0","0.2","0.4","0.5","0.444","0.4","0.6","0.636","0.2","0.4","0.6","0.1","0","0","0.2","0.4","0.8","Nick Richards","richani01"
"2020-21",27,"DAL","NBA","SG","59","56","30.3","4.5","10.5","0.427","1.5","4.5","0.33","3","5.9","0.501","0.498","1.7","1.8","0.917","0.9","2.4","3.3","2.6","1","0.4","1.3","2.2","12.1","Josh Richardson","richajo01"
"2020-21",28,"TOT","NBA","SG","36","7","23.5","2.9","6.8","0.424","1.5","4.1","0.369","1.4","2.7","0.51","0.537","0.6","0.9","0.71","0.2","2.1","2.3","2.3","0.8","0.1","1","1.8","7.9","Austin Rivers","riverau01"
"2020-21",28,"NYK","NBA","SG","21","2","21","2.8","6.4","0.43","1.3","3.7","0.364","1.4","2.8","0.517","0.533","0.5","0.7","0.714","0.2","2","2.2","2","0.6","0","1","1.5","7.3","Austin Rivers","riverau01"
"2020-21",28,"DEN","NBA","SG","15","5","26.9","3.1","7.3","0.418","1.8","4.8","0.375","1.3","2.5","0.5","0.541","0.8","1.1","0.706","0.2","2.1","2.3","2.6","1.2","0.1","0.9","2.1","8.7","Austin Rivers","riverau01"
"2020-21",26,"MIA","NBA","SF","72","72","31.4","4.4","10","0.439","3.5","8.5","0.408","0.9","1.4","0.625","0.614","0.9","1","0.827","0.1","3.4","3.5","1.8","0.6","0.3","1.1","2.5","13.1","Duncan Robinson","robindu01"
"2020-21",22,"NYK","NBA","C","31","29","27.5","3.7","5.7","0.653","0","0",NA,"3.7","5.7","0.653","0.653","0.8","1.7","0.491","3.6","4.5","8.1","0.5","1.1","1.5","0.8","2.8","8.3","Mitchell Robinson","robinmi01"
"2020-21",22,"OKC","NBA","PF","61","34","23.4","3.4","7","0.483","0.5","1.8","0.294","2.9","5.2","0.547","0.52","1.4","1.9","0.744","1.5","4.1","5.6","1.8","0.9","0.6","1.9","2.7","8.7","Isaiah Roby","robyis01"
"2020-21",32,"TOT","NBA","PG","50","3","25.6","5.7","12.2",".470","1.0","2.6",".388","4.7","9.6",".492",".511","2.2","2.5",".866","0.4","2.2","2.6","4.2","1.0","0.4","1.6","1.1","14.7","Derrick Rose","rosede01"
"2020-21",32,"DET","NBA","PG","15","0","22.8","5.3","12.3",".429","0.9","2.6",".333","4.4","9.7",".455",".465","2.8","3.3",".840","0.4","1.5","1.9","4.2","1.2","0.3","1.9","1.1","14.2","Derrick Rose","rosede01"
"2020-21",32,"NYK","NBA","PG","35","3","26.8","5.9","12.2",".487","1.1","2.6",".411","4.9","9.6",".507",".530","1.9","2.2",".883","0.4","2.5","2.9","4.2","0.9","0.4","1.4","1.1","14.9","Derrick Rose","rosede01"
"2020-21",29,"ORL","NBA","SG","46","2","29.3","5.5","13.4","0.412","1.9","5.7","0.337","3.6","7.7","0.469","0.485","2.6","3","0.87","0.3","3.1","3.4","2.3","1","0.5","1.6","1.9","15.6","Terrence Ross","rosste01"
"2020-21",26,"CHO","NBA","SG","69","69","34.5","7.4","16.4","0.45","3.2","8.3","0.389","4.2","8.2","0.512","0.548","2.4","2.9","0.817","0.7","3.7","4.4","4.2","1.3","0.4","1.9","1.7","20.4","Terry Rozier","roziete01"
"2020-21",30,"MIN","NBA","PG","68","51","26.1","2.8","7.3",".388","1.0","3.1",".308","1.9","4.2",".447",".454","1.9","2.2",".867","0.4","2.9","3.3","6.4","1.4","0.1","1.6","2.0","8.6","Ricky Rubio","rubiori01"
"2020-21",24,"MIN","NBA","PG","42","26","28.5","6.7","15.5","0.431","2.9","7.4","0.387","3.8","8.1","0.471","0.523","2.7","3.5","0.765","0.4","2.3","2.6","5.8","1.1","0.4","2.7","1.6","19","D'Angelo Russell","russeda01"
"2020-21",24,"IND","NBA","PF","62","62","36","7.8","14.6","0.535","0.8","2.6","0.321","7","12","0.582","0.564","3.9","5.3","0.732","2.4","9.5","12","6.7","1.2","0.5","3.4","3.3","20.3","Domantas Sabonis","sabondo01"
"2020-21",21,"SAS","NBA","PF","33","4","9.3","1.4","3.2","0.448","0.4","1.3","0.279","1.1","1.9","0.565","0.505","0.5","0.9","0.552","0.5","1.6","2.1","0.5","0.2","0.2","0.6","1.3","3.7","Luka Šamanić","samanlu01"
"2020-21",26,"PHO","NBA","C","50","4","17.4","3.1","6.8",".447","0.9","2.7",".348","2.1","4.1",".512",".516","1.7","2.0",".848","0.9","2.9","3.8","1.3","0.6","0.1","1.1","1.9","8.7","Dario Šarić","saricda01"
"2020-21",27,"LAL","NBA","SG","61","61","32.1","5.4","12.5","0.437","1.2","3.5","0.335","4.3","9","0.476","0.484","3.4","4","0.848","0.5","3","3.5","5.8","1.1","0.2","2.7","2.6","15.4","Dennis Schröder","schrode01"
"2020-21",20,"LAC","NBA","SG","4","1","21","3.5","9","0.389","0.5","2.3","0.222","3","6.8","0.444","0.417","1.3","1.3","1","0.5","3","3.5","0.3","1","0","1.8","1.3","8.8","Jay Scrubb","scrubja01"
"2020-21",22,"CLE","NBA","SG","60","60","35.3","8.8","18.4","0.475","1.6","4.4","0.371","7.1","14","0.508","0.519","5.2","6.4","0.815","1","2.2","3.1","4.4","1","0.2","2.8","2.6","24.3","Collin Sexton","sextoco01"
"2020-21",23,"BRK","NBA","SG","61","12","23","3","7.5","0.408","2.1","5.5","0.387","0.9","2","0.463","0.549","1.1","1.3","0.846","0.2","1.7","1.8","1.6","0.5","0.2","0.8","1.5","9.3","Landry Shamet","shamela01"
"2020-21",26,"TOR","NBA","PF","56","56","35.8","7.8","17.2","0.455","1.3","4.4","0.297","6.5","12.8","0.509","0.493","4.4","5.4","0.827","1.7","5.5","7.2","4.5","1.1","0.7","2.3","3.1","21.4","Pascal Siakam","siakapa01"
"2020-21",24,"TOT","NBA","PF","15","0","6.1","0.7","1.1","0.625","0.1","0.1","1","0.6","1","0.6","0.656","0.7","1","0.733","0.5","1.3","1.8","0.4","0.1","0.4","0.7","1.6","2.1","Chris Silva","silvach01"
"2020-21",24,"MIA","NBA","PF","11","0","7.5","0.8","1.2","0.692","0.1","0.1","1","0.7","1.1","0.667","0.731","1","1.4","0.733","0.6","1.6","2.3","0.5","0.1","0.5","0.8","1.8","2.7","Chris Silva","silvach01"
